modelo,rmsle,rmse,mae,r2,tempo_treino_s
GradientBoosting,0.13089198267078384,24940.346120496473,15485.414688689018,0.9037686992427235,3.823008768999898
Ridge,0.13639028812130094,26496.659281329088,16338.389887896517,0.8913840397574895,0.1446444050000082
RandomForest,0.15670336178820687,34518.28347159962,19711.873690842694,0.8156641586573232,1.0614648840000882
